Median_D492	Median_D492_Her2	Median_D492M	D492_1	D492_2	D492_3	D492_Her2_1	D492_Her2_2	D492_Her2_3	Coefficient of variation_D492	Coefficient of variation_D492_Her2	Protein ID_total	Protein ID_R1	Protein Names_R1	Gene Name (GN)_R1	Protein ID_R2	Protein Names_R2	Gene Name (GN)_R2	Protein ID_R3	Protein Names_R3	Gene Name (GN)_R3
1.15111339092255	-0.496794432401657	-0.654318928718567	3.782500029	NaN	3.678800106	1.192000031	NaN	1.284500003	0.019655266	0.052822416	Q6QWC1	Q6QWC1	TAP1	TAP1	Q6QWC1	TAP1	TAP1	Q6QWC1	TAP1	TAP1
1.0209596157074	-0.0433277264237404	-0.97763192653656	3.231699944	3.693500042	3.512399912	2.004199982	2.174499989	2.361399889	0.066878387	0.081954817	B4DWB1	B4DWB1	cDNA FLJ61431, highly similar to Protein arginine N-methyltransferase 3 (EC 2.1.1.-)		B4DWB1	cDNA FLJ61431, highly similar to Protein arginine N-methyltransferase 3 (EC 2.1.1.-)		B4DWB1	cDNA FLJ61431, highly similar to Protein arginine N-methyltransferase 3 (EC 2.1.1.-)	
1.01099073886871	-0.0223563835024834	-0.988634347915649	2.927200079	3.15260005	3.286799908	1.966300011	2.040199995	2.264400005	0.058201644	0.074265237	A0A024R328	A0A024R328	Protein kinase C delta type	PRKCD	A0A024R328	Protein kinase C delta type	PRKCD	A0A024R328	Protein kinase C delta type	PRKCD
1.14211118221283	-0.4237921833992	-0.718318998813629	3.64260006	3.515300035	3.171900034	1.398200035	1.499899983	1.240499973	0.070711155	0.094744778	O75843	O75843	AP-1 complex subunit gamma-like 2	AP1G2	O75843	AP-1 complex subunit gamma-like 2	AP1G2	O75843	AP-1 complex subunit gamma-like 2	AP1G2
1.03537881374359	-0.0749785155057907	-0.960400342941284	3.250799894	3.187999964	3.129899979	1.970700026	1.977699995	1.817299962	0.018957178	0.047168882	P35270	P35270	Sepiapterin reductase	SPR	P35270	Sepiapterin reductase	SPR	P35270	Sepiapterin reductase	SPR
1.15167558193207	-0.503500938415527	-0.648174583911896	3.280299902	2.941299915	3.026599884	1.162899971	1.185299993	1.120200038	0.057200338	0.0286068	E9PGT3	E9PGT3	Ribosomal protein S6 kinase	RPS6KA1	E9PGT3	Ribosomal protein S6 kinase	RPS6KA1	E9PGT3	Ribosomal protein S6 kinase	RPS6KA1
1.15337610244751	-0.624569833278656	-0.528806269168854	2.890100002	2.876600027	3.01789999	0.892400026	0.825800002	0.97390002	0.026629046	0.082658323	Q56VL3	Q56VL3	OCIA domain-containing protein 2	OCIAD2	Q56VL3	OCIA domain-containing protein 2	OCIAD2	Q56VL3	OCIA domain-containing protein 2	OCIAD2
1.11417484283447	-0.294483453035355	-0.819691359996796	2.777800083	NaN	2.9447999	1.522899985	NaN	1.488100052	0.041270298	0.016344914	B7Z1E8	B7Z1E8	cDNA FLJ56847, highly similar to Segment polarity protein dishevelled homologDVL-1					B7Z1E8	cDNA FLJ56847, highly similar to Segment polarity protein dishevelled homologDVL-1	
1.15460622310638	-0.590086400508881	-0.564519762992859	2.869299889	2.428200006	2.900099993	1.064900041	0.972199976	0.925300002	0.096617266	0.071942845	Q96IF1	Q96IF1	LIM domain-containing protein ajuba	AJUBA	Q96IF1	LIM domain-containing protein ajuba	AJUBA	Q96IF1	LIM domain-containing protein ajuba	AJUBA
1.15397322177887	-0.612472832202911	-0.541500449180603	2.726300001	2.789299965	2.875499964	0.925100029	1.046800017	0.919399977	0.026778374	0.07467102	H3BPE1	H3BPE1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	MACF1	H3BPE1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	MACF1	H3BPE1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	MACF1
1.13339960575104	-0.375508785247803	-0.757890820503235	3.308700085	3.173799992	2.827899933	1.473099947	1.439499974	1.224599957	0.079909519	0.097763847	A0A0B4J2A4	A0A0B4J2A4	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	A0A0B4J2A4	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	A0A0B4J2A4	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2
1.14634275436401	-0.45307245850563	-0.693270266056061	2.546299934	2.419399977	2.823499918	1.186800003	1.201900005	1.338000059	0.079593281	0.067040013	A0A024R496	A0A024R496	Calcium binding protein 39, isoform CRA_a	CAB39	A0A024R496	Calcium binding protein 39, isoform CRA_a	CAB39	A0A024R496	Calcium binding protein 39, isoform CRA_a	CAB39
1.1546927690506	-0.57368266582489	-0.581010103225708	2.801000118	2.490700006	2.729199886	1.016800046	1.007300019	0.971099973	0.06075687	0.024153615	Q9UIW2	Q9UIW2	Plexin-A1	PLXNA1	Q9UIW2	Plexin-A1	PLXNA1	Q9UIW2	Plexin-A1	PLXNA1
0.878030836582184	0.210443109273911	-1.08847391605377	2.704400063	2.996799946	2.724699974	2.002099991	2.139199972	2.205499887	0.058132496	0.049032575	B2RDG1	B2RDG1	Fatty acyl-CoA reductase		B2RDG1	Fatty acyl-CoA reductase		B2RDG1	Fatty acyl-CoA reductase	
1.08059275150299	-0.18782003223896	-0.892772674560547	2.440599918	2.651299953	2.712899923	1.589900017	1.72360003	1.588000059	0.054886006	0.047585032	O94851-3	O94851-3	Isoform 3 of [F-actin]-monooxygenase MICAL2	MICAL2	O94851-3	Isoform 3 of [F-actin]-monooxygenase MICAL2	MICAL2	O94851-3	Isoform 3 of [F-actin]-monooxygenase MICAL2	MICAL2
0.716620743274689	0.425807625055313	-1.14242839813232	3.225199938	2.794399977	2.682600021	2.790499926	2.317100048	2.513700008	0.098769031	0.093617684	Q07960	Q07960	Rho GTPase-activating protein 1	ARHGAP1	Q07960	Rho GTPase-activating protein 1	ARHGAP1	Q07960	Rho GTPase-activating protein 1	ARHGAP1
0.956310868263245	0.0822927206754684	-1.03860354423523	2.310100079	2.434299946	2.57130003	1.805899978	1.849400043	1.690199971	0.053577472	0.046179102	A0A024R2E9	A0A024R2E9	ATG7 autophagy related 7 homolog (S. cerevisiae), isoform CRA_b	ATG7	A0A024R2E9	ATG7 autophagy related 7 homolog (S. cerevisiae), isoform CRA_b	ATG7	A0A024R2E9	ATG7 autophagy related 7 homolog (S. cerevisiae), isoform CRA_b	ATG7
1.1545444726944	-0.593712866306305	-0.560831606388092	NaN	2.570499897	2.549200058	NaN	1.014400005	0.925800025	0.00588365	0.064580606	Q7Z6B7				Q7Z6B7	SLIT-ROBO Rho GTPase-activating protein 1	SRGAP1	Q7Z6B7	SLIT-ROBO Rho GTPase-activating protein 1	SRGAP1
0.803881227970123	0.315925091505051	-1.11980640888214	2.111099958	2.27850008	2.545099974	1.954200029	1.738999963	2.097800016	0.094689619	0.09355212	Q8N6H7	Q8N6H7	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	Q8N6H7	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	Q8N6H7	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2
1.09070062637329	-0.217053174972534	-0.873647511005402	NaN	2.807100058	2.51789999	NaN	1.536200047	1.575199962	0.076805757	0.017726492	D3DSR9				D3DSR9	Tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B	D3DSR9	Tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B
1.14988815784454	-0.483741611242294	-0.666146576404572	2.6171	2.585999966	2.501600027	1.200899959	1.113100052	1.15929997	0.023270684	0.037935133	A8K5D8	A8K5D8	cDNA FLJ75934, highly similar to Homo sapiens vacuolar protein sorting 4B (yeast) (VPS4B), mRNA		A8K5D8	cDNA FLJ75934, highly similar to Homo sapiens vacuolar protein sorting 4B (yeast) (VPS4B), mRNA		A8K5D8	cDNA FLJ75934, highly similar to Homo sapiens vacuolar protein sorting 4B (yeast) (VPS4B), mRNA	
0.729557871818542	0.410339772701263	-1.13989758491516	2.467600107	2.585000038	2.496299982	2.12319994	2.429199934	2.240799904	0.024322228	0.068167756	O43159	O43159	Ribosomal RNA-processing protein 8	RRP8	O43159	Ribosomal RNA-processing protein 8	RRP8	O43159	Ribosomal RNA-processing protein 8	RRP8
1.14649987220764	-0.454281747341156	-0.69221818447113	2.751399994	NaN	2.473400116	1.211500049	NaN	1.205800056	0.075247127	0.003334715	Q9HB58-2	Q9HB58-2	Isoform 2 of Sp110 nuclear body protein	SP110	Q9HB58-2	Isoform 2 of Sp110 nuclear body protein	SP110	Q9HB58-2	Isoform 2 of Sp110 nuclear body protein	SP110
0.919013500213623	0.145935773849487	-1.06494927406311	2.139100075	NaN	2.457499981	1.825600028	NaN	1.759199977	0.097960549	0.026195005	B3KQZ4	B3KQZ4	cDNA FLJ33327 fis, clone BNGH42009025, weakly similar to Homo sapiens t-complex 11(TCP11), mRNA		B3KQZ4	cDNA FLJ33327 fis, clone BNGH42009025, weakly similar to Homo sapiens t-complex 11(TCP11), mRNA		B3KQZ4	cDNA FLJ33327 fis, clone BNGH42009025, weakly similar to Homo sapiens t-complex 11(TCP11), mRNA	
1.11405193805695	-0.294031113386154	-0.820020794868469	NaN	2.372999907	2.45720005	NaN	1.381399989	1.388299942	0.0246526	0.003523128	Q14BN4-2				Q14BN4-2	Isoform 2 of Sarcolemmal membrane-associated protein	SLMAP	Q14BN4-2	Isoform 2 of Sarcolemmal membrane-associated protein	SLMAP
1.15401458740234	-0.542544960975647	-0.611469686031342	2.276799917	2.395999908	2.444499969	1.067499995	1.030400038	1.054499984	0.036375366	0.01791463	Q53GR7	Q53GR7	Solute carrier family 25, member 13 (Citrin) variant (Fragment)		Q53GR7	Solute carrier family 25, member 13 (Citrin) variant (Fragment)		Q53GR7	Solute carrier family 25, member 13 (Citrin) variant (Fragment)	
1.14422106742859	-0.437691062688828	-0.706530034542084	NaN	2.420599937	2.439800024	NaN	1.189800024	1.225700021	0.005586582	0.021018531	P27144				P27144	Adenylate kinase 4, mitochondrial	AK4	P27144	Adenylate kinase 4, mitochondrial	AK4
1.13778817653656	-0.739418268203735	-0.398369967937469	2.439100027	2.490400076	2.436100006	0.680499971	0.668500006	0.681599975	0.012431171	0.010735602	Q53FA7	Q53FA7	Quinone oxidoreductase PIG3	TP53I3	Q53FA7	Quinone oxidoreductase PIG3	TP53I3	Q53FA7	Quinone oxidoreductase PIG3	TP53I3
1.1480987071991	-0.680830001831055	-0.467268645763397	2.141400099	2.04369998	2.345999956	0.849099994	0.932200015	0.825100005	0.070861569	0.064689288	A0A1W2PPH1	A0A1W2PPH1	Malic enzyme	ME2	A0A1W2PPH1	Malic enzyme	ME2	A0A1W2PPH1	Malic enzyme	ME2
0.740263760089874	0.397336155176163	-1.13759994506836	2.103800058	2.453999996	2.344899893	2.031699896	2.14199996	2.099299908	0.077881784	0.026598033	Q9H0A0	Q9H0A0	RNA cytidine acetyltransferase	NAT10	Q9H0A0	RNA cytidine acetyltransferase	NAT10	Q9H0A0	RNA cytidine acetyltransferase	NAT10
1.07805991172791	-0.180784106254578	-0.897275805473328	2.347599983	2.3677001	2.32859993	1.5352	1.488800049	1.371299982	0.008327488	0.05766241	A0A024R1P2	A0A024R1P2	Ras-related C3 botulinum toxin substrate 2 (Rho family, small GTP binding protein Rac2), isoform CRA_a	RAC2	A0A024R1P2	Ras-related C3 botulinum toxin substrate 2 (Rho family, small GTP binding protein Rac2), isoform CRA_a	RAC2	A0A024R1P2	Ras-related C3 botulinum toxin substrate 2 (Rho family, small GTP binding protein Rac2), isoform CRA_a	RAC2
1.14103293418884	-0.417112320661545	-0.72392064332962	2.456799984	2.454600096	2.306999922	1.355399966	1.228899956	1.239300013	0.035683434	0.055098887	Q96FQ6	Q96FQ6	Protein S100-A16	S100A16	Q96FQ6	Protein S100-A16	S100A16	Q96FQ6	Protein S100-A16	S100A16
1.12990462779999	-0.358829647302628	-0.771075010299683	2.081599951	NaN	2.3052001	1.218000054	NaN	1.299600005	0.072084061	0.045837208	B3KP06	B3KP06	cDNA FLJ30880 fis, clone FEBRA2004767, highly similar to Breast cancer anti-estrogen resistance protein 3					B3KP06	cDNA FLJ30880 fis, clone FEBRA2004767, highly similar to Breast cancer anti-estrogen resistance protein 3	
1.14515137672424	-0.444235175848007	-0.700916171073914	2.420399904	2.269399881	2.266400099	1.097300053	1.176499963	1.218600035	0.037977046	0.052904868	Q6IAX1	Q6IAX1	FDFT1 protein	FDFT1	Q6IAX1	FDFT1 protein	FDFT1	Q6IAX1	FDFT1 protein	FDFT1
1.15443241596222	-0.59876424074173	-0.555668234825134	2.51850009	2.45630002	2.233099937	1.031000018	0.96329999	0.917999983	0.062463948	0.058581373	Q16658	Q16658	Fascin	FSCN1	Q16658	Fascin	FSCN1	Q16658	Fascin	FSCN1
1.0886777639389	-0.211043924093246	-0.87763386964798	2.293200016	2.176500082	2.22239995	1.414399981	1.368600011	1.610000014	0.026355424	0.087557042	D3DUL8	D3DUL8	KIAA1609 protein, isoform CRA_a	KIAA1609	D3DUL8	KIAA1609 protein, isoform CRA_a	KIAA1609	D3DUL8	KIAA1609 protein, isoform CRA_a	KIAA1609
1.14935505390167	-0.478567063808441	-0.670787990093231	2.470799923	2.158400059	2.207299948	1.232900023	1.085600019	1.127500057	0.073737847	0.06607393	Q6ZRV2	Q6ZRV2	Protein FAM83H	FAM83H	Q6ZRV2	Protein FAM83H	FAM83H	Q6ZRV2	Protein FAM83H	FAM83H
1.04445028305054	-0.0957948341965675	-0.948655366897583	2.158200026	2.062099934	2.190099955	1.495599985	1.444900036	1.571499944	0.031181848	0.042364756	Q5TZZ9	Q5TZZ9	Annexin	ANXA1	Q5TZZ9	Annexin	ANXA1	Q5TZZ9	Annexin	ANXA1
0.78330934047699	0.343069642782211	-1.12637901306152	2.034100056	2.325799942	2.187700033	1.913900018	1.945899963	1.868199944	0.066857427	0.02045258	A3KMH1-2	A3KMH1-2	Isoform 2 of von Willebrand factor A domain-containing protein 8	VWA8	A3KMH1-2	Isoform 2 of von Willebrand factor A domain-containing protein 8	VWA8	A3KMH1-2	Isoform 2 of von Willebrand factor A domain-containing protein 8	VWA8
1.15462183952332	-0.588981568813324	-0.565640330314636	2.483500004	2.378200054	2.18569994	1.060099959	0.981299996	0.925800025	0.064284487	0.068231994	Q9H4L5	Q9H4L5	Oxysterol-binding protein-related protein 3	OSBPL3	Q9H4L5	Oxysterol-binding protein-related protein 3	OSBPL3	Q9H4L5	Oxysterol-binding protein-related protein 3	OSBPL3
1.14614069461823	-0.451534241437912	-0.694606482982636	2.148799896	2.10439992	2.166399956	1.156999946	1.001700044	1.15170002	0.014931215	0.079904827	B2RA03	B2RA03	cDNA, FLJ94640, highly similar to Homo sapiens keratin 18 (KRT18), mRNA		B2RA03	cDNA, FLJ94640, highly similar to Homo sapiens keratin 18 (KRT18), mRNA		B2RA03	cDNA, FLJ94640, highly similar to Homo sapiens keratin 18 (KRT18), mRNA	
0.632026791572571	0.520889580249786	-1.152916431427	NaN	2.113699913	2.16050005	NaN	1.929200053	2.203399897	0.01548486	0.093833698	Q14444				Q14444	Caprin-1	CAPRIN1	Q14444	Caprin-1	CAPRIN1
1.074498295784	-0.171066135168076	-0.903432190418243	2.523200035	2.35010004	2.151400089	1.499899983	1.62349999	1.461400032	0.079453983	0.055416512	R4GN98	R4GN98	Protein S100 (Fragment)	S100A6	R4GN98	Protein S100 (Fragment)	S100A6	R4GN98	Protein S100 (Fragment)	S100A6
1.02164995670319	-0.0448061674833298	-0.976843774318695	2.308500051	2.082900047	2.146300077	1.559100032	1.534600019	1.464300036	0.053390276	0.032388796	A0A024R486	A0A024R486	Armadillo repeat containing 9, isoform CRA_c	ARMC9	A0A024R486	Armadillo repeat containing 9, isoform CRA_c	ARMC9	A0A024R486	Armadillo repeat containing 9, isoform CRA_c	ARMC9
0.913898885250092	0.154272019863129	-1.06817090511322	1.991000056	1.853899956	2.13499999	1.611199975	1.584900022	1.791000009	0.070518301	0.067478006	A8K3M3	A8K3M3	Tyrosine-protein phosphatase non-receptor type	PTPN1	A8K3M3	Tyrosine-protein phosphatase non-receptor type	PTPN1	A8K3M3	Tyrosine-protein phosphatase non-receptor type	PTPN1
1.1373348236084	-0.395889699459076	-0.741445124149323	1.923400044	2.15199995	2.125999928	1.207599998	1.07980001	1.207100034	0.060544552	0.063220593	Q7L8L6	Q7L8L6	FAST kinase domain-containing protein 5, mitochondrial	FASTKD5	Q7L8L6	FAST kinase domain-containing protein 5, mitochondrial	FASTKD5	Q7L8L6	FAST kinase domain-containing protein 5, mitochondrial	FASTKD5
1.12781429290771	-0.349370062351227	-0.778444230556488	2.369199991	2.148000002	2.125	1.258399963	1.269400001	1.244799972	0.060901821	0.009799257	Q13126	Q13126	S-methyl-5-thioadenosine phosphorylase	MTAP	Q13126	S-methyl-5-thioadenosine phosphorylase	MTAP	Q13126	S-methyl-5-thioadenosine phosphorylase	MTAP
1.15469145774841	-0.573367714881897	-0.581323683261871	NaN	1.8829	2.124599934	NaN	1.03550005	0.973699987	0.085293907	0.043499147	Q9H147				Q9H147	Deoxynucleotidyltransferase terminal-interacting protein 1	DNTTIP1	Q9H147	Deoxynucleotidyltransferase terminal-interacting protein 1	DNTTIP1
1.15430617332459	-0.551018357276917	-0.603287756443024	2.221299887	2.088200092	2.123100042	1.033400059	0.947000027	1.045400023	0.0321859	0.05322578	B2RD30	B2RD30	cDNA, FLJ96431		B2RD30	cDNA, FLJ96431		B2RD30	cDNA, FLJ96431	
0.912352919578552	0.156774654984474	-1.06912755966187	2.36439991	NaN	2.121700048	1.809900045	NaN	1.728199959	0.076509538	0.032656333	Q8NEZ2	Q8NEZ2	Vacuolar protein sorting-associated protein 37A	VPS37A				Q8NEZ2	Vacuolar protein sorting-associated protein 37A	VPS37A
1.12372946739197	-0.331812471151352	-0.791917026042938	2.476999998	2.140799999	2.084599972	1.293099999	1.274000049	1.251099944	0.094979782	0.016522441	O15231-3	O15231-3	Isoform 3 of Zinc finger protein 185	ZNF185	O15231-3	Isoform 3 of Zinc finger protein 185	ZNF185	O15231-3	Isoform 3 of Zinc finger protein 185	ZNF185
0.991679549217224	0.0164382681250572	-1.00811779499054	1.940799952	1.917299986	2.078099966	1.481999993	1.35619998	1.585500002	0.043892997	0.077874131	B4DNJ7	B4DNJ7	Inosine-5-monophosphate dehydrogenase	IMPDH	B4DNJ7	Inosine-5-monophosphate dehydrogenase	IMPDH	B4DNJ7	Inosine-5-monophosphate dehydrogenase	IMPDH
1.13568866252899	-0.387128084897995	-0.748560607433319	1.966400027	2.333800077	2.075500011	1.20630002	1.184800029	1.285599947	0.088781601	0.043318818	K4RH61	K4RH61	Matrix metalloproteinase 14 (Membrane-inserted)	MMP14	K4RH61	Matrix metalloproteinase 14 (Membrane-inserted)	MMP14	K4RH61	Matrix metalloproteinase 14 (Membrane-inserted)	MMP14
1.11442601680756	-0.295409500598907	-0.819016456604004	1.965600014	NaN	2.074899912	1.223999977	NaN	1.328600049	0.038256008	0.057951437	Q9Y5K5-2	Q9Y5K5-2	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCHL5				Q9Y5K5-2	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCHL5
0.989855825901031	0.0199886597692966	-1.00984454154968	2.113800049	2.241400003	2.072299957	1.505399942	1.749300003	1.573600054	0.041133064	0.078186844	B5BUJ8	B5BUJ8	Mitogen-activated protein kinase-activated protein kinase 3 (Fragment)	MAPKAPK3	B5BUJ8	Mitogen-activated protein kinase-activated protein kinase 3 (Fragment)	MAPKAPK3	B5BUJ8	Mitogen-activated protein kinase-activated protein kinase 3 (Fragment)	MAPKAPK3
1.12297201156616	-0.328676253557205	-0.794295787811279	2.279700041	1.990700006	2.067300081	1.259199977	1.275300026	1.206699967	0.07087268	0.028766273	B7ZB41	B7ZB41	cDNA, FLJ79405, highly similar to Homo sapiens solute carrier family 25, member 24, transcript variant 1, mRNA		B7ZB41	cDNA, FLJ79405, highly similar to Homo sapiens solute carrier family 25, member 24, transcript variant 1, mRNA		B7ZB41	cDNA, FLJ79405, highly similar to Homo sapiens solute carrier family 25, member 24, transcript variant 1, mRNA	
0.48202383518219	0.667690336704254	-1.1497141122818	2.088900089	2.379899979	2.066900015	2.217099905	2.212800026	2.028599977	0.080193267	0.049985614	Q9H1B7	Q9H1B7	Interferon regulatory factor 2-binding protein-like	IRF2BPL	Q9H1B7	Interferon regulatory factor 2-binding protein-like	IRF2BPL	Q9H1B7	Interferon regulatory factor 2-binding protein-like	IRF2BPL
0.481425732374191	0.668227136135101	-1.14965283870697	2.044300079	1.919399977	2.065000057	2.163899899	2.054899931	2.332099915	0.03919731	0.063952865	P49589-3	P49589-3	Isoform 3 of Cysteine--tRNA ligase, cytoplasmic	CARS	P49589-3	Isoform 3 of Cysteine--tRNA ligase, cytoplasmic	CARS	P49589-3	Isoform 3 of Cysteine--tRNA ligase, cytoplasmic	CARS
1.1400990486145	-0.728575766086578	-0.411523282527924	2.353899956	2.226900101	2.062599897	0.784200013	0.749300003	0.694500029	0.065951549	0.060883836	Q6FGE5	Q6FGE5	S100A10 protein (Fragment)	S100A10	Q6FGE5	S100A10 protein (Fragment)	S100A10	Q6FGE5	S100A10 protein (Fragment)	S100A10
1.05020296573639	-0.109402969479561	-0.94080001115799	1.832100034	2.01609993	2.06159997	1.424299955	1.32280004	1.481299996	0.0616852	0.05696081	Q9P265	Q9P265	Disco-interacting protein 2 homolog B	DIP2B	Q9P265	Disco-interacting protein 2 homolog B	DIP2B	Q9P265	Disco-interacting protein 2 homolog B	DIP2B
1.14320015907288	-0.430816441774368	-0.71238374710083	1.958699942	NaN	2.057899952	1.156299949	NaN	1.149700046	0.034927552	0.00404756	Q8NFW8	Q8NFW8	N-acylneuraminate cytidylyltransferase	CMAS				Q8NFW8	N-acylneuraminate cytidylyltransferase	CMAS
1.14874887466431	-0.472973674535751	-0.675775170326233	2.069600105	1.919700027	2.057100058	1.085299969	1.12349999	1.117499948	0.041266651	0.018527764	A0A087WUQ6	A0A087WUQ6	Glutathione peroxidase	GPX1	A0A087WUQ6	Glutathione peroxidase	GPX1	A0A087WUQ6	Glutathione peroxidase	GPX1
1.10996735095978	-0.279340118169785	-0.830627262592316	1.880499959	1.971199989	2.053800106	1.30309999	1.275900006	1.262199998	0.044034349	0.016258994	A0A024RBU0	A0A024RBU0	Vacuolar protein sorting 37B (Yeast), isoform CRA_b	VPS37B	A0A024RBU0	Vacuolar protein sorting 37B (Yeast), isoform CRA_b	VPS37B	A0A024RBU0	Vacuolar protein sorting 37B (Yeast), isoform CRA_b	VPS37B
1.05253803730011	-0.115023769438267	-0.937514305114746	1.68719995	1.945799947	2.048000097	1.390900016	1.230399966	1.49150002	0.098203114	0.096058798	Q9NSI2-2	Q9NSI2-2	Isoform B of Protein FAM207A	FAM207A	Q9NSI2-2	Isoform B of Protein FAM207A	FAM207A	Q9NSI2-2	Isoform B of Protein FAM207A	FAM207A
1.12948882579803	-0.772569477558136	-0.356919318437576	2.182600021	2.158299923	2.041500092	0.629100025	0.676100016	0.690199971	0.035457275	0.048098952	P50851-2	P50851-2	Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	P50851-2	Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	P50851-2	Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein	LRBA
1.14894354343414	-0.674203753471375	-0.474739849567413	NaN	2.013600111	2.029599905	NaN	0.92049998	0.828499973	0.005596341	0.074389744	Q68DL0				Q68DL0	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	DKFZp779K1237	Q68DL0	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	DKFZp779K1237
