Ratio.H.M.TotProt.R1.LOG2	Ratio.H.M.TotProt.R2.LOG2	Ratio.H.M.TotProt.R3.LOG2	T-test Significant 	Median_Log2.H.E.	p.value	t.statistic	-Log T-test p-value 	T-test q-value 	T-test Difference 	Protein.ID	Protein.Names	Gene.Name
-3.58759999275208	-4.41540002822876	-3.80940008163452	+	-3.80940008163452	0.00392453600622919	-15.9156581752744	2.40621168207072	0.0195076464374806	-3.93746670087179	A0A0S2Z3R6	Laminin beta 3 isoform 1 (Fragment)	LAMB3
-3.33680009841919	-3.80150008201599	-3.96659994125366	+	-3.80150008201599	0.00258424754299086	-19.6331475011208	2.58766588796696	0.016469894022024	-3.70163337389628	Q8IZW8	Tensin-4	TNS4
-3.7720000743866	-4.27850008010864	-3.78520011901855	+	-3.78520011901855	0.00178010056272309	-23.6699484736933	2.74955546252169	0.0142858896624791	-3.9452334245046	P13928	Annexin A8	ANXA8
-3.77099990844727	-3.83800005912781	-3.34209990501404	+	-3.77099990844727	0.00180604169836668	-23.4988834576215	2.74327222680162	0.0142858896624791	-3.65036662419637	A0A087WY82	Junctional adhesion molecule A	F11R
-2.72149991989136	-3.74884986877441	-4.77619981765747		-3.74884986877441	0.0241309479603901	-6.32033753418168	1.617425616929	0.0515767526550382	-3.74884986877441	Q14244-3	Isoform 3 of Ensconsin	MAP7
-3.23720002174377	-3.7140998840332	-3.99569988250732	+	-3.7140998840332	0.00366003797200953	-16.4839960497892	2.43651440888685	0.0190049126900108	-3.6489999294281	B3KU62	cDNA FLJ39243 fis, clone OCBBF2008283, highly similar to Protein NDRG1	NA
-2.97510004043579	-3.67529988288879	-3.71659994125366	+	-3.67529988288879	0.00481180377407664	-14.3639646114673	2.31769209156584	0.0215688472142399	-3.45566662152608	A8KAM5	cDNA FLJ77519, highly similar to Homo sapiens secreted frizzled related protein mRNA	NA
-3.49659991264343	-3.65129995346069	-3.88409996032715	+	-3.65129995346069	0.000936541426480015	-32.6536163519771	3.02847300751062	0.0112339392876697	-3.67733327547709	Q14512	Fibroblast growth factor-binding protein 1	FGFBP1
-3.52160000801086	-4.3422999382019	-3.62520003318787	+	-3.62520003318787	0.00450916109680199	-14.8415589255933	2.34590424858096	0.0208443191037279	-3.82969999313354	Q9UMD9-2	Isoform 2 of Collagen alpha-1(XVII) chain	COL17A1
-3.60089993476868	-4.08400011062622	-3.51830005645752	+	-3.60089993476868	0.00222432098960101	-21.1678047354014	2.65280253995337	0.0157550940917166	-3.73440003395081	Q53G64	Anterior gradient 2 homolog (Fragment)	NA
-2.73060011863709	-3.57430005073547	-3.56080007553101	+	-3.56080007553101	0.00712146402685803	-11.7865326287296	2.14743071522276	0.0263211367130104	-3.28856674830119	G0Z349	Interferon regulatory factor 6	IRF6
-3.92219996452332	-3.27559995651245	-3.55690002441406	+	-3.55690002441406	0.00271519345349453	-19.1519858606187	2.56619922213849	0.0168010210220242	-3.58489998181661	Q96BJ8	Engulfment and cell motility protein 3	ELMO3
-3.8831000328064	-3.1742000579834	-3.55069994926453	+	-3.55069994926453	0.00333692140432194	-17.2678387896882	2.47665402231814	0.0182234183973126	-3.53600001335144	A0A024R191	RAB38, member RAS oncogene family, isoform CRA_a	RAB38
-2.08579993247986	-3.50659990310669	-3.53699994087219		-3.50659990310669	0.0238672309845279	-6.35645259101986	1.62219796381392	0.0512269834001716	-3.04313325881958	Q92626	Peroxidasin homolog	PXDN
-3.27010011672974	-3.79889988899231	-3.48860001564026	+	-3.48860001564026	0.00189504066384657	-22.9389109636213	2.72238146649063	0.0145629311539054	-3.51920000712077	A0A0A6YYF2	HCG1811249, isoform CRA_e	LAMA3
-3.45729994773865	-4.36100006103516	-3.29299998283386	+	-3.45729994773865	0.007940522362648	-11.1551912684225	2.10015092693319	0.0278789670535598	-3.70376666386922	P47989	Xanthine dehydrogenase/oxidase	XDH
-3.44420003890991	-4.86429977416992	-3.05029988288879	+	-3.44420003890991	0.0205192747192011	-6.87312512574881	1.68783799400014	0.0467821263768076	-3.78626656532288	P17301	Integrin alpha-2	ITGA2
-3.55089998245239	-3.33890008926392	-3.17930006980896	+	-3.33890008926392	0.00102667024550272	-31.1852983872247	2.98856902432377	0.0115000546755534	-3.35636671384176	A0A0S2Z487	Junction plakoglobin isoform 1 (Fragment)	JUP
-3.31219983100891	-3.1382999420166	-3.4860999584198	+	-3.3121999502182	0.000917586010430634	-32.9896396091846	3.03735320592896	0.0112339392876697	-3.31219991048177	Q8IWU5-2	Isoform 2 of Extracellular sulfatase Sulf-2	SULF2
-3.30189990997314	-3.57170009613037	-2.90120005607605	+	-3.30189990997314	0.00355471965003621	-16.7277322803664	2.44919464507738	0.018740071975645	-3.25826668739319	B4DLF0	cDNA FLJ50795, highly similar to Cadherin-3	NA
-3.26800012588501	-3.17700004577637	-3.35899996757507	+	-3.26800000667572	0.000258362052489382	-62.2015877232998	3.58777128453393	0.00716922684626368	-3.26800004641215	Q9BV40	Vesicle-associated membrane protein 8	VAMP8
-3.3422999382019	-3.26440000534058	-3.16619992256165	+	-3.26440000534058	0.000244508141666224	-63.9401550086244	3.6117066751013	0.00711157487039469	-3.25763328870138	P23229-4	Isoform Alpha-6X2A of Integrin alpha-6	ITGA6
-3.02920007705688	-3.36409997940063	-3.15750002861023	+	-3.15750002861023	0.000937654159579152	-32.6342079830988	3.02795731543966	0.0112339392876697	-3.18360002835592	G9JXB8	RON variant E2E3	NA
-3.2014000415802	-2.75279998779297	-3.15359997749329	+	-3.15359997749329	0.00218784788828921	-21.3441025745137	2.6599828759284	0.0156637669092808	-3.03593333562215	B4DE59	cDNA FLJ60424, highly similar to Junction plakoglobin	NA
-2.57430005073547	-3.08800005912781	-3.60170006752014	+	-3.0880000591278	0.00909880347218365	-10.4118608308453	2.04101571551698	0.029818677947307	-3.08800005912781	P29466-2	Isoform Beta of Caspase-1	CASP1
-3.02929997444153	-3.14580011367798	-2.90149998664856	+	-3.02929997444153	0.000543272634227971	-42.8858551145992	3.26498217073128	0.00923924456682	-3.02553335825602	P15924	Desmoplakin	DSP
-2.980299949646	-3.70059990882874	-2.13280010223389		-2.980299949646	0.022967413612505	-6.48426995133117	1.63888790846564	0.0501151706232375	-2.93789998690287	A0A0S2Z4S4	Toll-like receptor (Fragment)	TLR2
-2.63639998435974	-2.91464996337891	-3.19289994239807	+	-2.9146499633789	0.00302414546667099	-18.1431166343532	2.51939732234871	0.0177529823896863	-2.91464996337891	Q9NUV7	Serine palmitoyltransferase 3	SPTLC3
-3.3840000629425	-2.90619993209839	-2.51489996910095	+	-2.90619993209839	0.00725136907174034	-11.6793326988408	2.1395799901717	0.0265151651850923	-2.93503332138062	Q9BW04	Specifically androgen-regulated gene protein	SARG
-2.89199995994568	-3.53279995918274	-2.80979990959167	+	-2.89199995994568	0.00546688595954513	-13.4692561785207	2.26225998551787	0.0226782732782221	-3.0781999429067	Q03001-3	Isoform 3 of Dystonin	DST
-3.71009993553162	-2.86770009994507	-2.82969999313354	+	-2.86770009994507	0.00829213670463337	-10.9132149426548	2.08133354684689	0.0285041064729716	-3.13583334287008	A8YXX4	Glutamine synthetase	GLUL
-2.70880007743835	-2.8561999797821	-3.27150011062622	+	-2.8561999797821	0.00325509148981802	-17.4846173030132	2.48743680035089	0.0181314617369527	-2.94550005594889	Q8NE89	Similar to tissue factor pathway inhibitor 2 (Fragment)	NA
-3.54789996147156	-2.84689998626709	-2.14590001106262	+	-2.84689998626709	0.0196174423411981	-7.03420198958417	1.70735761517827	0.0453166459135794	-2.84689998626709	Q5T0W9	Protein FAM83B	FAM83B
-2.61619997024536	-2.7632999420166	-2.82200002670288	+	-2.7632999420166	0.000500910563819052	-44.6639059077568	3.30023980927688	0.00906321588389957	-2.73383331298828	P98172	Ephrin-B1	EFNB1
-3.14599990844727	-2.35109996795654	-2.7485499382019	+	-2.74854993820191	0.00689802220403032	-11.9779305485091	2.16127541207927	0.0259830578788411	-2.7485499382019	A8KA84	cDNA FLJ78682, highly similar to Homo sapiens 2-5-oligoadenylate synthetase 3, 100kDa (OAS3), mRNA	NA
-2.44810009002686	-2.9818000793457	-2.72900009155273	+	-2.72900009155273	0.00319673877212224	-17.6442513202789	2.49529285152007	0.0180818848335755	-2.71963342030843	Q53X91	Sulfotransferase (Fragment)	SULT1E1
-2.60109996795654	-3.10170006752014	-2.70819997787476	+	-2.70819997787476	0.00293363450768044	-18.4221287261964	2.53259399451151	0.0175230747313249	-2.80366667111715	P05120	Plasminogen activator inhibitor 2	SERPINB2
-2.73110008239746	-2.70485019683838	-2.67860007286072	+	-2.70485007762909	3.13928446447566E-05	-178.473787058329	4.50316934192613	0.00292181758211314	-2.70485011736552	D3DS13	Ribonuclease A E1	RNASE7
-3.01740002632141	-2.49370002746582	-2.68210005760193	+	-2.68210005760193	0.00312982677024623	-17.8327587504552	2.5044796991361	0.0179653039276126	-2.73106670379639	O15020-2	Isoform 2 of Spectrin beta chain, non-erythrocytic 2	SPTBN2
-2.77690005302429	-2.67090010643005	-2.67070007324219	+	-2.67090010643005	0.000170753165058908	-76.5173631303519	3.76763123754466	0.0061145773335145	-2.70616674423218	P31947	14-3-3 protein sigma	SFN
-2.66439986228943	-2.28889989852905	-3.03990006446838	+	-2.66439998149871	0.00655560792165342	-12.28994705712	2.18338701586959	0.0250792685215689	-2.66439994176229	Q6PCB8-2	Isoform 2 of Embigin	EMB
-2.6635000705719	-2.65310001373291	-2.92630004882813	+	-2.6635000705719	0.00105660102449627	-30.7397348420231	2.97608897255047	0.0117326261266714	-2.74763337771098	Q9UHS8	PRO1975	NA
-2.61120009422302	-2.65739989280701	-3.46259999275208	+	-2.65739989280701	0.0089004341086761	-10.5288321007572	2.05058881078718	0.0295469015460684	-2.9103999932607	D7PBN3	ESRP1/RAF1 fusion protein	NA
-2.54095005989075	-2.06550002098084	-3.01640009880066	+	-2.54095005989075	0.0114702699408698	-9.25660793574966	1.94042636130969	0.0337190823624269	-2.54095005989075	Q7Z2K6	Endoplasmic reticulum metallopeptidase 1	ERMP1
-2.43319988250732	-2.51854991912842	-2.60389995574951	+	-2.51854991912841	0.000382591881712857	-51.1101880447316	3.41726424958507	0.00841766782648115	-2.51854991912842	P21397-2	Isoform 2 of Amine oxidase [flavin-containing] A	MAOA
-2.47129988670349	-2.55719995498657	-2.48210000991821	+	-2.48210000991821	0.000116410031161068	-92.6759139209502	3.93400959451267	0.00547168737578502	-2.50353328386943	Q9Y446	Plakophilin-3	PKP3
-2.24810004234314	-2.46779990196228	-2.60130000114441	+	-2.46779990196228	0.00177742649243336	-23.6877946545795	2.75020835098706	0.0142858896624791	-2.43906664848328	Q8N4X5	Actin filament-associated protein 1-like 2	AFAP1L2
-1.95770001411438	-2.4644501209259	-2.97119998931885	+	-2.46445000171662	0.013802618867206	-8.42338967956111	1.8600385177739	0.0371285358642629	-2.46445004145304	Q9H3D4-10	Isoform 10 of Tumor protein 63	TP63
-2.44039988517761	-2.55850005149841	-2.32229995727539	+	-2.4404000043869	0.000779737942573711	-35.7908138207463	3.10805131807639	0.0107340718998107	-2.44039996465047	B4DWL2	cDNA FLJ54763, highly similar to DENN domain-containing protein 2D	NA
-2.43055009841919	-2.58139991760254	-2.27970004081726	+	-2.4305499792099	0.00128151722924239	-27.9074429806491	2.8922755647807	0.0127779614793879	-2.43055001894633	P16422	Epithelial cell adhesion molecule	EPCAM
-2.64299988746643	-2.17199993133545	-2.40749979019165	+	-2.40749990940094	0.00317436001456836	-17.7066350347612	2.49834380576262	0.0180177130771494	-2.40749986966451	Q60I27-2	Isoform 2 of ALS2 C-terminal-like protein	ALS2CL
-2.40234994888306	-2.45169997215271	-2.3529999256134	+	-2.40234994888305	0.000140633668114385	-84.3159109832583	3.85191069549054	0.00599502532169473	-2.40234994888306	P50416-2	Isoform 2 of Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A
-1.99030005931854	-2.78660011291504	-2.38845014572144	+	-2.38845008611679	0.00913600654384646	-10.3903469095904	2.03924360534616	0.0299023124742206	-2.38845010598501	K7QZC2	Pro-opiomelanocortin (Fragment)	POMC
-2.13129997253418	-2.38280010223389	-2.63429999351501	+	-2.3827999830246	0.00369290956282677	-16.410061482006	2.43263134224389	0.0191120578421627	-2.38280002276103	Q6P179-3	Isoform 3 of Endoplasmic reticulum aminopeptidase 2	ERAP2
-3.07170009613037	-2.23620009422302	-2.37150001525879	+	-2.37150001525879	0.010076102938376	-9.88672090792155	1.99670740464665	0.031374434858555	-2.55980006853739	A0A1K0FUB6	Globin F	GLNF
-2.03889989852905	-2.64989995956421	-2.34439992904663	+	-2.34439992904663	0.00561267009023151	-13.2917164803228	2.25083048465656	0.0230587946950932	-2.34439992904663	Q9Y5L3	Ectonucleoside triphosphate diphosphohydrolase 2	ENTPD2
-1.79390001296997	-2.47620010375977	-2.3099000453949	+	-2.3099000453949	0.0086565869753344	-10.6780682837097	2.06265330328217	0.0290959085429026	-2.19333338737488	Q8IVL5	Prolyl 3-hydroxylase 2	P3H2
-2.32809996604919	-2.19700002670288	-2.26254987716675	+	-2.26254999637603	0.000279669526977271	-59.7841855294249	3.55335483688733	0.00748854760666761	-2.26254995663961	P13797	Plastin-3	PLS3
-2.30049991607666	-2.02589988708496	-2.26110005378723	+	-2.26110005378723	0.00152061916063275	-25.6149807320599	2.81797954146706	0.0135039804605283	-2.19583328564962	Q96LD4	Tripartite motif-containing protein 47	TRIM47
-2.3099000453949	-1.66359996795654	-2.22259998321533	+	-2.22259998321533	0.00947262232674896	-10.2014591010294	2.02352977788523	0.0303621001917462	-2.06536666552226	Q96JY6	PDZ and LIM domain protein 2	PDLIM2
-2.31220006942749	-2.04180002212524	-2.17700004577637	+	-2.17700004577636	0.00128315428210187	-27.8896007969231	2.89172112239589	0.0127779614793879	-2.17700004577637	O94832	Unconventional myosin-Id	MYO1D
-2.17630004882813	-2.27340006828308	-2.15289998054504	+	-2.17630004882813	0.000280838476744046	-59.6595819293718	3.5515433912258	0.00748854760666761	-2.20086669921875	Q2TTR7	Receptor protein-tyrosine kinase	NA
-2.1314001083374	-2.3510000705719	-1.49010002613068	+	-2.1314001083374	0.0164161846416579	-7.70841307867836	1.78472777179735	0.0411731745127959	-1.99083340167999	Q8NBY1	Serine/threonine-protein kinase 26	STK26
-1.8257999420166	-2.12229990959167	-2.53200006484985	+	-2.12229990959167	0.00886446464175407	-10.5504595670627	2.05234748811406	0.0295040276223875	-2.16003330548604	Q96QV1	Hedgehog-interacting protein	HHIP
-0.687799990177155	-2.05749988555908	-2.269700050354		-2.05749988555908	0.0778155076429648	-3.37211362928532	1.10893384699637	0.12048928669085	-1.67166664203008	P04066	Tissue alpha-L-fucosidase	FUCA1
-1.94570004940033	-2.00139999389648	-2.05380010604858	+	-2.00139999389648	0.000243364159288457	-64.0903156248968	3.613743380787	0.00711157487039469	-2.0003000497818	Q02388-2	Isoform 2 of Collagen alpha-1(VII) chain	COL7A1
-1.99619996547699	-1.90890002250671	-2.30550003051758	+	-1.99619996547699	0.0033608507269253	-17.2059452922146	2.47355077641007	0.0182234183973126	-2.07020000616709	Q92619	Rho GTPase-activating protein 45	ARHGAP45
-1.99549996852875	-1.68250000476837	-2.30850005149841	+	-1.99550002813339	0.00810142316332449	-11.0425149432063	2.09143867421742	0.0280954868090867	-1.99550000826518	Q4G1C4	ZADH2 protein (Fragment)	ZADH2
-1.99100005626678	-2.20479989051819	-1.94930005073547	+	-1.99100005626678	0.00148928690328059	-25.8836370369934	2.82702162964288	0.0134932029343191	-2.04836666584015	Q9NYT0	Pleckstrin-2	PLEK2
-1.86740005016327	-1.98424994945526	-2.10109996795654	+	-1.9842500090599	0.00115396024434779	-29.4122639242942	2.93780914433338	0.0119819931215152	-1.98424998919169	Q8TED9	Actin filament-associated protein 1-like 1	AFAP1L1
-1.90279996395111	-1.97930002212524	-2.05220007896423	+	-1.97930002212524	0.000475114816536781	-45.8612528995988	3.32320142582195	0.00884404634855177	-1.9781000216802	Q9BST9	Rhotekin	RTKN
-2.43129992485046	-1.97609996795654	-1.52090001106262	+	-1.97609996795654	0.0172316045269534	-7.51912537226709	1.76367428118493	0.0424896838022311	-1.97609996795654	Q8TAE6	Protein phosphatase 1 regulatory subunit 14C	PPP1R14C
-2.10290002822876	-1.8206000328064	-1.96175003051758	+	-1.96175003051758	0.00172119776266557	-24.072623306441	2.76416922711601	0.0141506431993091	-1.96175003051758	A0A024R292	Follicular lymphoma variant translocation 1, isoform CRA_a	FVT1
-1.95739996433258	-1.95570003986359	-1.95655000209808	+	-1.95655000209808	6.29065779704736E-08	-3987.05245203805	7.2013039391804	7.92448973835342E-05	-1.95655000209808	B4DJ71	Phosphate transporter	NA
-1.94079995155334	-1.95700001716614	-1.77300000190735	+	-1.94079995155334	0.000966867048537687	-32.1367174011297	3.01463324055624	0.0112891440015074	-1.89026665687561	Q53FA7	Quinone oxidoreductase PIG3	TP53I3
-1.92534995079041	-1.87279999256134	-1.97790002822876	+	-1.92535001039505	0.000248223771940393	-63.4596176714953	3.60515662029078	0.00711955937063113	-1.92534999052684	Q53SF7-4	Isoform 4 of Cordon-bleu protein-like 1	COBLL1
-2.47869992256165	-1.48570001125336	-1.91110002994537	+	-1.91110002994537	0.0208952762091249	-6.80903705825919	1.67995188365925	0.0472379204147915	-1.95849998792013	Q9GZP8	Immortalization up-regulated protein	IMUP
-2.02309989929199	-1.8588000535965	-1.9021999835968	+	-1.9021999835968	0.000649400155733689	-39.2222228081905	3.18748761156115	0.0100431401728119	-1.92803331216176	A0A024RB23	Diacylglycerol kinase	DGKA
-1.89950001239777	-1.80030000209808	-2.07520008087158	+	-1.89950001239777	0.00173876823058623	-23.9503698046341	2.75975830349823	0.0141506431993091	-1.92500003178914	O00194	Ras-related protein Rab-27B	RAB27B
-2.06180000305176	-1.89769995212555	-1.85319995880127	+	-1.89769995212555	0.00107002406047337	-30.5460094288082	2.97060645669492	0.0117520097854325	-1.93756663799286	P11216	Glycogen phosphorylase, brain form	PYGB
-1.84210002422333	-1.81140005588531	-1.87279999256134	+	-1.84210002422332	9.25694912719331E-05	-103.928798865496	4.03353212298788	0.00496140678710567	-1.84210002422333	P05549-5	Isoform 2 of Transcription factor AP-2-alpha	TFAP2A
-1.83050000667572	-1.87409996986389	-0.0375000014901161		-1.83050000667572	0.175379984507104	-2.06154414385666	0.756019976092275	0.230736662016085	-1.24736665934324	X5D2R7	Proteasome subunit beta type	PSM8
-1.82710003852844	-1.44860005378723	-2.04469990730286	+	-1.82710003852844	0.00950614912718895	-10.1831947581195	2.02199537724417	0.0303621001917462	-1.77346666653951	A8K9S3	Coronin	NA
-2.13100004196167	-1.80690002441406	-1.62440001964569	+	-1.80690002441406	0.00632286279151376	-12.5163011023399	2.19908624248123	0.0246885847646624	-1.85410002867381	A0A024RC00	CTP synthase	CTPS2
-1.80289995670319	-1.80429995059967	-1.92019999027252	+	-1.80429995059967	0.00044474672021058	-47.4022244225592	3.3518872459415	0.00863789754970378	-1.84246663252513	Q6LET0	Tetraspanin (Fragment)	KAI1
-1.4974000453949	-2.26729989051819	-1.79540002346039	+	-1.79540002346039	0.0143115405072559	-8.26905578362007	1.84431361587052	0.0377875833628076	-1.85336665312449	Q14517	Protocadherin Fat 1	FAT1
-1.92219996452332	-1.66649997234344	-1.79434990882874	+	-1.79434996843338	0.00168797177883555	-24.3089980988335	2.77263480901691	0.014126534415002	-1.79434994856517	Q9BXB5	Oxysterol-binding protein-related protein 10	OSBPL10
-1.66879999637604	-1.77760004997253	-1.88639998435974	+	-1.77759999036789	0.00124639547794893	-28.298655044795	2.90434414502383	0.0126593220421858	-1.7776000102361	Q6QWC1	TAP1	TAP1
-1.79190003871918	-1.64859998226166	-1.77049994468689	+	-1.77049994468689	0.000659503589959326	-38.9203306577226	3.18078283606111	0.0100776085880645	-1.73699998855591	A0A024RA58	Deafness, autosomal dominant 5, isoform CRA_a	DFNA5
-1.37800002098084	-1.91340005397797	-1.75899994373322	+	-1.75899994373322	0.00881417275778382	-10.5809193943957	2.05481844173845	0.0294030424167872	-1.68346667289734	Q15149-9	Isoform 9 of Plectin	PLEC
-1.7228000164032	-1.79069995880127	-1.75674998760223	+	-1.75674998760223	0.000124467669511646	-89.6254143158023	3.90494344195058	0.00564349870357563	-1.75674998760223	A0A024R2B1	Serpin peptidase inhibitor, clade B (Ovalbumin), member 8, isoform CRA_a	SERPINB8
-1.74150002002716	-1.30830001831055	-1.79340004920959	+	-1.74150002002716	0.00895207829950823	-10.498007057522	2.04807612807716	0.0296669139875383	-1.61440002918243	Q96IF1	LIM domain-containing protein ajuba	AJUBA
-1.81079995632172	-1.7236499786377	-1.63650000095367	+	-1.7236499786377	0.000851060545358153	-34.2564555585967	3.07003954264214	0.0109737504576515	-1.7236499786377	B7ZVY5	SLFN13 protein	SLFN13
-1.82589995861053	-1.61090004444122	-1.71840000152588	+	-1.71840000152587	0.00130196107939867	-27.6870446378449	2.88540199829867	0.0128421840067785	-1.71840000152588	Q8WXI4-2	Isoform 2 of Acyl-coenzyme A thioesterase 11	ACOT11
-1.78980004787445	-1.71785008907318	-1.64590001106262	+	-1.71785002946854	0.000584237385702151	-41.3537563539885	3.23341066574483	0.00967867672586013	-1.71785004933675	Q96DG6	Carboxymethylenebutenolidase homolog	CMBL
-1.769700050354	-1.71529996395111	-1.36940002441406	+	-1.71529996395111	0.00594786514647802	-12.9084872186704	2.22563888665472	0.0238419995311865	-1.61813334623973	Q9Y4F5-3	Isoform 3 of Centrosomal protein of 170 kDa protein B	CEP170B
-1.50069999694824	-1.72769999504089	-1.71490001678467	+	-1.71490001678467	0.0019905546520914	-22.3801930253645	2.70102589405327	0.0149342462196167	-1.64776666959127	P57764	Gasdermin-D	GSDMD
-1.70249998569489	-1.83410000801086	-1.67879998683929	+	-1.70249998569489	0.000771124402625895	-35.990384982359	3.11287555318679	0.0107265918941355	-1.73846666018168	A0A024R3N3	Amyloid beta (A4)-like protein 2, isoform CRA_a	APLP2
-1.70104992389679	-1.80830001831055	-1.59379994869232	+	-1.70104998350143	0.00132244408455791	-27.4713663532376	2.87862267157342	0.0128421840067785	-1.70104996363322	Q5PY49	Urokinase plasminogen activator (Fragment)	NA
-1.68809998035431	-1.52489995956421	-2.20219993591309	+	-1.68809998035431	0.0125423586480835	-8.84494067735467	1.90162078475537	0.0352771065491935	-1.8050666252772	Q96EN8	Molybdenum cofactor sulfurase	MOCOS
-1.66349995136261	-1.94889998435974	-1.59879994392395	+	-1.66349995136261	0.00381158947114403	-16.1511205450051	2.41889388139153	0.0193342681553145	-1.73706662654877	Q54A15	DTGCU2	DTGCU2
-1.77730000019073	-1.65569996833801	-1.50279998779297	+	-1.65569996833801	0.00232163835019896	-20.7178881253669	2.6342054309141	0.0160098367633502	-1.64526665210724	P12532	Creatine kinase U-type, mitochondrial	CKMT1A
-1.68229997158051	-1.54509997367859	-1.65569996833801	+	-1.65569996833801	0.000665391173599532	-38.7475873708039	3.17692296433654	0.0101373137430231	-1.62769997119904	P50851-2	Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein	LRBA
-1.73010003566742	-1.57539999485016	-1.65275001525879	+	-1.65275001525879	0.000729306304859322	-37.0090012066638	3.13709003194124	0.0103992171993723	-1.65275001525879	Q5T370	Arrestin domain-containing protein 1 (Fragment)	ARRDC1
-1.15629994869232	-1.75150001049042	-1.64999997615814	+	-1.64999997615814	0.0143274410697377	-8.26436579112787	1.84383136916521	0.0378052426989548	-1.51926664511363	Q9UHR4	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1	BAIAP2L1
-1.53639996051788	-1.67550003528595	-1.64709997177124	+	-1.64709997177124	0.000685656951126784	-38.1700858073473	3.16389311679541	0.01032317039064	-1.61966665585836	A0A024R2Q3	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	CTNNB1
-1.67830002307892	-1.6360000371933	-1.59790003299713	+	-1.6360000371933	0.000201041186414139	-70.5167015448127	3.6967149614848	0.00643206145783663	-1.63740003108978	Q56VL3	OCIA domain-containing protein 2	OCIAD2
-3.70149993896484	-0.57370001077652	-1.58019995689392		-1.58019995689392	0.168436471361296	-2.11729499291492	0.773563867780284	0.223618258277263	-1.95179996887843	P07305	Histone H1.0	H1F0
-1.56470000743866	-1.56640005111694	-1.52069997787476	+	-1.56470000743866	9.30445500218874E-05	-103.663107104409	4.03130906009076	0.00496140678710567	-1.55060001214345	Q9NUD5	Zinc finger CCHC domain-containing protein 3	ZCCHC3
-1.24460005760193	-1.5871000289917	-1.55850005149841	+	-1.55850005149841	0.00557355365695606	-13.3386709182684	2.25386781356148	0.0229605221409814	-1.46340004603068	Q6SJ93-2	Isoform 2 of Protein FAM111B	FAM111B
-1.55420005321503	-1.45790004730225	-1.54560005664825	+	-1.54560005664825	0.000409877493214606	-49.3786743829456	3.38734592857556	0.00841766782648115	-1.51923338572184	H3BPE1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	MACF1
